Utilisé pour l'entrainement,Titre,Catégorie
1,Les jeux vidéo détruisent peu à peu notre capacité à nous concentrer,Négatif
1,Les jeux vidéo remplacent-ils la place des vrais amis ?,Négatif
1,Pourquoi tant de jeunes dorment moins à cause des jeux vidéo ?,Négatif
1,Les 5 signes que les jeux vidéo prennent le contrôle de ton quotidien,Négatif
1,Les jeux vidéo détruisent la concentration des jeunes... et c'est inquiétant !,Négatif
1,Les jeux vidéo peuvent complètement dérégler ton sommeil,Négatif
1,Ce qui arrive à ton cerveau après des heures passées devant un jeu… C'est terrifiant!,Négatif
1,Les jeux vidéo peuvent nuire à la réussite scolaire,Négatif
1,Pourquoi tant de familles imposent aujourd'hui des limites aux jeux vidéo ?,Négatif
1,"Les jeux vidéo prennent la place du sport, de la lecture et des sorties",Négatif
1,Les jeux vidéo développent ton cerveau bien plus qu'on le pense,Positif
1,Pourquoi les jeunes qui jouent aux jeux vidéo apprennent plus vite à résoudre des problèmes à l'école et dans la vie en général ?,Positif
1,Les jeux vidéo sont l'un des meilleurs outils pour développer la créativité !,Positif
1,J'ai amélioré mon anglais grâce aux jeux vidéo.. et ça marche vraiment !,Positif
1,Les jeux vidéo rendent-ils plus intelligents ? Oui...Les recherches sont surprenantes,Positif
1,Les grands joueurs de jeux vidéo développent des réflexes impressionnants... voici pourquoi,Positif
1,Voici pourquoi les jeux vidéo améliorent la mémoire,Positif
1,Les jeux vidéo entraînent ton cerveau chaque fois que tu joues,Positif
1,Les jeux vidéo peuvent t'aider à réussir à l'école,Positif
1,Les jeux vidéo donnent confiance pour relever des défis,Positif
,J'ai supprimé tous mes jeux vidéo... et je ne regrette absolument rien !,Négatif
,Les spécialistes sonnent l'alarme sur les jeux vidéo,Négatif
,Les jeux vidéo rendent les jeunes dépendants beaucoup plus vite qu'on le croit,Négatif
,Les jeux vidéo prennent le contrôle de ton temps sans que tu t'en rendes compte,Négatif
,Pourquoi les jeux vidéo volent des milliers d'heures aux jeunes chaque année,Négatif
,Les jeux vidéo rendent-ils les jeunes dépendants sans qu'ils s'en rendent compte ?,Négatif
,Pourquoi les jeux vidéo rendent si difficile l'arrêt d'une partie,Négatif
,Les spécialistes s'inquiètent du temps passé à jouer,Négatif
,Les jeux vidéo sont conçus pour te garder accroché... voici comment,Négatif
,Les développeurs veulent que tu reviennes jouer encore et encore,Négatif
,Le piège caché derrière les récompenses dans les jeux vidéo,Négatif
,Pourquoi il est beaucoup plus difficile d'arrêter que tu le crois,Négatif
,Les jeux vidéo remplacent-ils les vraies expériences de la vie ?,Négatif
,Ce que j'ai retrouvé après avoir arrêté les jeux vidéo pendant un mois,Négatif
,Les jeux vidéo nous font-ils perdre le goût des autres activités ?,Négatif
,Pourquoi ton cerveau réclame toujours « une dernière partie »,Négatif
,Les jeux vidéo peuvent-ils devenir une véritable dépendance ?,Négatif
,Les jeux vidéo fatiguent-ils davantage ton cerveau qu'on le pense ?,Négatif
,Pourquoi les jeux vidéo rendent les devoirs plus difficiles à commencer,Négatif
,Les jeux vidéo empêchent-ils les jeunes de développer d'autres passions ?,Négatif
,Les effets inquiétants des longues soirées passées à jouer,Négatif
,Pourquoi les jeux vidéo rendent les écrans encore plus difficiles à quitter,Négatif
,Les jeux vidéo sont-ils devenus le nouveau piège des réseaux sociaux ?,Négatif
,Le coût caché de toutes ces heures passées à jouer,Négatif
,Pourquoi les jeux vidéo te donnent toujours envie d'y retourner,Négatif
,Les jeux vidéo peuvent-ils modifier tes habitudes sans que tu le remarques ?,Négatif
,Comment les jeux vidéo réussissent à garder ton attention pendant des heures,Négatif
,Les jeux vidéo sont-ils en train de remplacer les loisirs des jeunes ?,Négatif
,Pourquoi certains jeunes pensent uniquement à leur prochain jeu,Négatif
,Les jeux vidéo nous éloignent-ils de la vraie vie ?,Négatif
,Les conséquences que personne ne remarque avant qu'il soit trop tard,Négatif
